country1,country2,p_dist
Algeria,Algeria,0.30425496269731056
Basque,Algeria,0.024968710176256907
Bedouin,Algeria,0.015670392537735847
Cappadocia,Algeria,0.02705819712939111
Chuvash,Algeria,0.01054610024820641
Crete,Algeria,0.02240711958762307
Denmark,Algeria,0.015647967218904327
Dodecanese,Algeria,0.01982447361787276
Druze,Algeria,0.014969669192308282
Rumelia,Algeria,0.019095448118399087
Egypt,Algeria,0.018786213980455952
Finland,Algeria,0.011511609832185814
France,Algeria,0.02368893907583055
Hungary,Algeria,0.019064351094417273
Ireland,Algeria,0.016847458106621385
Italy,Algeria,0.026553506379883723
Libya,Algeria,0.032636923711528674
Macedonia,Algeria,0.02152950834534537
Mozabite,Algeria,0.04888060262456845
North_Morocco,Algeria,0.008846757625773709
Palestinian,Algeria,0.01611485007198068
Peloponnese,Algeria,0.02358845512900662
Russia,Algeria,0.006575541761679708
Sahara,Algeria,0.05233869191208946
Sardinia,Algeria,0.03374005571109346
SE_Laconia,Algeria,0.0056538425232914614
Serbia,Algeria,0.020577487280542307
Sicily,Algeria,0.03289536071458693
South_Morocco,Algeria,0.008846757625773709
Tunisia,Algeria,0.05497773593306866
Tuscany,Algeria,0.026265200493518166
Yemenite,Algeria,0.01563710954274946
Algeria,Basque,0.020466469968724074
Basque,Basque,0.24939314097214102
Bedouin,Basque,0.011091610514423218
Cappadocia,Basque,0.032888494143163985
Chuvash,Basque,0.011380120795013148
Crete,Basque,0.01650937102064085
Denmark,Basque,0.028612728518581553
Dodecanese,Basque,0.015563890819333688
Druze,Basque,0.01137038274216571
Rumelia,Basque,0.01820239442352913
Egypt,Basque,0.01167983249522262
Finland,Basque,0.015325017072864187
France,Basque,0.14708212955536207
Hungary,Basque,0.025082121838115208
Ireland,Basque,0.04131811262285733
Italy,Basque,0.03497688232408987
Libya,Basque,0.014995174913827982
Macedonia,Basque,0.02124898163683941
Mozabite,Basque,0.035522382038688134
North_Morocco,Basque,0.006885078228516255
Palestinian,Basque,0.01173933793188719
Peloponnese,Basque,0.01876640319324196
Russia,Basque,0.0067438565421726535
Sahara,Basque,0.014592800976482646
Sardinia,Basque,0.039453978391464035
SE_Laconia,Basque,0.005423553944363262
Serbia,Basque,0.02335992631756179
Sicily,Basque,0.026091570495353867
South_Morocco,Basque,0.006885078228516255
Tunisia,Basque,0.025663036033034735
Tuscany,Basque,0.04012985454375135
Yemenite,Basque,0.011556286758070801
Algeria,Bedouin,0.010817470206182999
Basque,Bedouin,0.009341005090328867
Bedouin,Bedouin,0.21003104970955752
Cappadocia,Bedouin,0.014070062062600981
Chuvash,Bedouin,0.011097078754200523
Crete,Bedouin,0.02839835922912388
Denmark,Bedouin,0.009620065382671683
Dodecanese,Bedouin,0.031823611175285836
Druze,Bedouin,0.0852707327897342
Rumelia,Bedouin,0.021165259756899146
Egypt,Bedouin,0.05068990393270345
Finland,Bedouin,0.00885179144353265
France,Bedouin,0.009819719478427661
Hungary,Bedouin,0.014165687349523795
Ireland,Bedouin,0.007763173440330523
Italy,Bedouin,0.013624124591620322
Libya,Bedouin,0.020063349498804346
